,Event ID,Title,Event Type,Severity,Description,Source,Date
10,009,"Russia summer heatwave, 2010",Heat,No discernible human influence,"""Analysis of forced model simulations indicates that neither human influences nor other slowly evolving ocean boundary conditions contributed substantially to the magnitude of this heat wave.""",https://www.esrl.noaa.gov/psd/people/tao.zhang/2010GL046582.pdf,2010
11,010,"Hurricanes Ivan & Katrina, 2004-05",Rain & flooding,More severe or more likely to occur,"""The environmental changes related to human influences on climate since 1970 have increased SSTs and water vapor, and the results suggest how this may have altered hurricanes and increased associated storm rainfalls, with the latter quantified to date to be of order 6 to 8%""",https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2006JD008303,2004-05
12,011,"England autumn-winter floods, 2000",Rain & flooding,More severe or more likely to occur,"""For all but one catchment, emissions are likely to have led to an increased chance of flooding in the October–December period.""",http://www.sciencedirect.com/science/article/pii/S0022169411004033,2000
13,012,"England & Wales autumn floods, 2000",Rain & flooding,More severe or more likely to occur,"""In nine out of 10 cases, our model results indicate that twentieth-century anthropogenic greenhouse gas emissions increased the risk of floods occurring in England and Wales in autumn 2000 by more than 20%, and in two out of three cases by more than 90%""",https://www.nature.com/nature/journal/v470/n7334/full/nature09762.html,2000
14,013,"Northern hemisphere daily rainfall extremes, 1951–2003",Rain & flooding,More severe or more likely to occur,"""Here we show that human-induced increases in greenhouse gases have contributed to the observed intensification of heavy precipitation events found over approximately two-thirds of data-covered parts of Northern Hemisphere land areas.""",https://www.nature.com/articles/nature09763,1951
15,014,"Atlantic tropical cyclone activity, 1870-2004",Storm,More severe or more likely to occur,"""This article presents results indicating that anthropogenic factors are likely responsible for long‐term trends in tropical Atlantic warmth and tropical cyclone activity.""",https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2006EO240001,1870-2004
16,015,"Russia summer heatwave, 2010",Heat,More severe or more likely to occur,"""Here we use the results from a large ensemble simulation experiment with an atmospheric general circulation model to show that…the same event can be both mostly internally‐generated in terms of magnitude and mostly externally‐driven in terms of occurrence‐probability.""",http://onlinelibrary.wiley.com/doi/10.1029/2011GL050422/abstract,2010
17,016,"England warm November, 2011",Heat,More severe or more likely to occur,"""The warm November of 2011…corresponds to a return period of 20 years in the 2000s, but a return period of 1250 years in the 1960s, an approximately 62 times increase in occurrence.""",http://journals.ametsoc.org/doi/full/10.1175/BAMS-D-12-00021.1,2011
18,017,"Remarkable' European temperatures, 2011",Heat,Insufficient data/inconclusive,"""High interannual correlations between observed and analog temperatures confirm that the North Atlantic dynamics remains the main driver of European temperature variability, especially in wintertime.""",http://journals.ametsoc.org/doi/full/10.1175/BAMS-D-12-00021.1,2011
19,018,"East Africa drought, 2011",Drought,No discernible human influence,"""It is interesting to note that while SST-driven simulations of the 2011 March–May (MAM) season clearly show the important role played by the warm western Pacific (Lyon and DeWitt 2012), and while the new CMIP5 SSTs exhibit substantial warming during the 1990s and 2000s, these increasing SSTs do not appear to produce corresponding large changes in evaporation or rainfall over eastern Africa.""",http://journals.ametsoc.org/doi/full/10.1175/BAMS-D-12-00021.1,2011
20,019,"Texas drought, 2011",Drought,Insufficient data/inconclusive,"""While we can provide evidence that the risk of hot and dry conditions has increased, we cannot say that the 2011 Texas drought and heat wave was ""extremely unlikely"" (in any absolute sense) to have occurred before this recent warming.""",http://journals.ametsoc.org/doi/full/10.1175/BAMS-D-12-00021.1,2011
21,020,"Thailand floods, 2011",Rain & flooding,No discernible human influence,"""Neither in the precipitation observations nor in climate models is there a trend in mean or variability up to now, so climate change cannot be shown to have played any role in this event.""",http://journals.ametsoc.org/doi/full/10.1175/BAMS-D-12-00021.1,2011
22,021,"US flooding, 1882-2008",Rain & flooding,No discernible human influence,"""In none of the four regions defined in this study [where the contiguoug US is divided into four] is there strong statistical evidence for flood magnitudes increasing with increasing GMCO2 [global mean CO2 concentration].""",https://www.tandfonline.com/doi/full/10.1080/02626667.2011.621895,1882-2008
23,022,UK cold winter of 2010-11,"Cold, snow & ice","Decrease, less severe or less likely to occur","""Yet while the odds of such an event have lengthened as a result of human influence on climate, such unlikely events can still happen, as the winter of 2010/11 demonstrated.""",http://journals.ametsoc.org/doi/full/10.1175/BAMS-D-12-00021.1,2010-11
24,023,"England cold December, 2010","Cold, snow & ice","Decrease, less severe or less likely to occur","""Therefore, a cold December of –0.7°C is half as likely to occur in the 2000s when compared to the 1960s.""",http://journals.ametsoc.org/doi/full/10.1175/BAMS-D-12-00021.1,2010
25,024,"US July heat, 2012",Heat,More severe or more likely to occur,"""Our analyses of the CMIP5 global climate model ensemble suggest that the likelihood of extreme July temperature anomalies is greater in the current forcing than in the preindustrial forcing.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1,2012
26,025,"Spring 'warm anomaly' in eastern US, 2012",Heat,More severe or more likely to occur,"""The anthropogenic contribution to the extreme seasonal (MAM) warmth over the eastern United States can be estimated as about 35%, or in terms of risk, anthropogenic forcing leads to a factor of 12 increase in the risk of such an event according to our calculations.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1,2012
27,026,"Australia record summer temperatures, 2013",Heat,More severe or more likely to occur,"""It was very likely (>90% confidence) there was at least a 2.5 times increase in the odds of extreme heat due to human influences using simulations to 2005, and a fivefold increase in this risk using simulations for 2006–2020.""",http://onlinelibrary.wiley.com/doi/10.1002/grl.50673/abstract,2013
28,027,"Global warm/extreme events, 2011-12",Heat,More severe or more likely to occur,"""In more than half of the 10 cases considered here anthropogenic influence results in warm events being 3 times more likely and extreme events 5 times more likely during September 2011–August 2012.""",https://journals.ametsoc.org/doi/10.1175/JCLI-D-13-00563.1,2011-12
29,028,"Global warm/cold days/nights, 1951-2000",Heat,More severe or more likely to occur,"""The anthropogenic signal is detected in global and northern continental means of all four indices, albeit less robustly for TXx, which is consistent with previous findings.""",https://journals.ametsoc.org/doi/full/10.1175/JCLI-D-12-00551.1,1951-2000
30,029,US heatwaves of spring/summer 2012,Heat,Insufficient data/inconclusive,"""The contribution of potential changes in circulation to the recent long-term warming in the United States, therefore, requires further research.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1,2012
31,030,"South Amazon drought, 2010",Drought,More severe or more likely to occur,"""It seemed that both human influences and the sea surface temperature (SST) natural variability increased probabilities of the 2010 severe drought in the South Amazon region.""",https://rmets.onlinelibrary.wiley.com/doi/full/10.1002/asl2.435,2010
32,031,"Iberian Peninsula record winter drought, 2011-12",Drought,More severe or more likely to occur,"""Overall these results agree with previous ones by Hoerling et al. (2012b), who found a tendency toward a drier Mediterranean for the period 1970–2010 in comparison with 1901–70, and that such a trend has been partially driven by the anthropogenic emissions of greenhouse gases and aerosols, although modulated by the NAO phase.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1,2011-12
33,032,"East Africa drought, 2011",Drought,More severe or more likely to occur,"""Human influence was found to increase the probability of long rains as dry as, or drier than, 2011""",http://onlinelibrary.wiley.com/doi/10.1002/grl.50235/abstract,2011
34,033,"Texas drought/heatwave, 2011",Drought,No discernible human influence,"""Quantitative attribution of the overall human-induced contribution since preindustrial times is complicated by the lack of a detected century-scale temperature trend over Texas.""",http://journals.ametsoc.org/doi/abs/10.1175/JCLI-D-12-00270.1,2011
35,034,"Severe Great Plains drought, May-July 2012",Drought,No discernible human influence,"""It is concluded that the extreme Great Plains drought did not require extreme external forcings and could plausibly have arisen from atmospheric noise alone.""",http://onlinelibrary.wiley.com/doi/10.1002/grl.50657/abstract,2012
36,035,"Central US low rainfall, 2012",Drought,No discernible human influence,"""The implication is that human alteration of the atmospheric composition may have had little effect on the frequency of low-precipitation periods.""",https://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1,2012
37,036,"Congo Basin dry season low rainfall extremes, 1960s-2000s",Drought,No discernible human influence,"""There are no significant changes in the risk of low precipitation extremes during this dry season (JJA) precipitation in the Congo Basin. Results for the December, January, February dry season are less clear.""",https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0299#d19177742e1,
38,037,"Eastern Kenya & southern Somalia rainfall deficits, 2012",Drought,Insufficient data/inconclusive,"""The results indicate that non-ENSO SST variations substantially increased the risk of a dry event in 2012...It is worth noting, however, that the procedure used here does not necessarily indicate an anthropogenic attribution.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1,2012
39,038,"Wet north European summer, 2012",Rain & flooding,More severe or more likely to occur,"""This suggests a contribution of climate change to precipitation rate in northern Europe. We conjecture that such a trend could be due to precipitation rates within the cyclonic patterns, which convey more moisture because of increased temperatures.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1,2012
40,039,"New Zealand extreme rainfall, December 2011",Rain & flooding,More severe or more likely to occur,"""This analysis indicates that the total moisture available for precipitation in the Golden Bay/Nelson extreme rainfall event of December 2011 was 1%–5% higher as a result of the emission of anthropogenic greenhouse gases.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1,2011
41,040,"Northern Hemisphere 1-day & 5-day rainfall totals, 1951-2005",Rain & flooding,More severe or more likely to occur,"""We estimate that human influence has intensified annual maximum 1 day precipitation in sampled Northern Hemisphere locations by 3.3% [1.1% to 5.8%, >90% confidence interval] on average.""",https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/grl.51010,1951-2005
42,041,"Northwestern Europe wet summers, 2007-12",Rain & flooding,No discernible human influence,"""We find no evidence that declines in sea ice can explain these recent wet summers, with the expected response to changes in sea ice since the late 1980s being small.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1,2007-12
43,042,"UK summer high rainfall, 2012",Rain & flooding,No discernible human influence,"""Although the summer UK rainfall in 2012 was unusually large, the model distributions studied suggest that any anthropogenic influence on these patterns was minimal.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.0,2012
44,043,"South-western Japan heavy rainfall, 2012",Rain & flooding,No discernible human influence,"""In the case of the 2012 event, the effect of anthropogenic global warming is too small to be detected compared with the variability due to the natural variability of the SST.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1,2012
45,044,"South-east Australia extreme rainfall, 2011-12",Rain & flooding,No discernible human influence,"""In summary, we detect limited evidence of a change in the relationship between ENSO and SE Australia extreme rainfall, or of a change in extreme rainfall itself, that may be attributed to anthropogenic climate change.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1,2011-12
46,045,"Eastern Australia heavy rainfall, 2012",Rain & flooding,No discernible human influence,"""Despite the potential contribution of all factors examined here, the extreme magnitude of the event appears to arise mainly from unforced internal climatic variations.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.2,2012
47,046,"North China floods, 2012",Rain & flooding,Insufficient data/inconclusive,"""We are unable to confirm or reject the role of climate change in the 21–22 July 2012 rainfall event due to the inability of the CMIP5 models to accurately replicate observations in this region of China.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1,2012
48,047,"Arctic sea ice record summer low, 2012","Cold, snow & ice","Decrease, less severe or less likely to occur","""Our modeling results indicate that the exceptional 2012 sea ice loss was primarily due to the sea ice memory and to the positive feedback of the warm atmospheric conditions, both contributing approximately equally.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1,2012
49,048,"Arctic sea ice record summer low, 2012","Cold, snow & ice","Decrease, less severe or less likely to occur","""The observed 2012 record low in ASIE is extremely unlikely to have occurred due to internal climate variability alone, according to the models.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1,2012
50,049,"European cold spell, February 2012","Cold, snow & ice",Insufficient data/inconclusive,"""Snowfall on the thin ice that had just formed is shown to limit the ice growth more strongly than the effect of warming.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1,2012
51,050,"Hurricane Sandy, 2012",Storm,More severe or more likely to occur,"""Accordingly, we estimate that relative sea level over 1950–2012 from global SLR (thermal expansion and ice melt), VLM (subsidence), and ocean circulation variability has contributed to a one- to two-thirds decrease in Sandy-level event recurrences.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1,2012
52,051,"Hurricane Katrina, 2005",Storm,More severe or more likely to occur,"""Surge simulations suggest that flood elevations would have been 15 to 60 % lower c. 1900 than the conditions observed in 2005. This drastic change suggests that significantly more flood damage occurred in 2005 than would have occurred if sea level and climate conditions had been like those c. 1900.""",https://link.springer.com/article/10.1007/s10584-013-1011-1,2005
53,052,"Global tropical cyclone activity, 1975-2010",Storm,Insufficient data/inconclusive,"""We find no anthropogenic signal in annual global tropical cyclone or hurricane frequencies. But a strong signal is found in proportions of both weaker and stronger hurricanes: the proportion of Category 4 and 5 hurricanes has increased at a rate of ~25–30 % per C of global warming after accounting for analysis and observing system changes.""",https://link.springer.com/article/10.1007/s00382-013-1713-0,1975-2010
54,053,Extreme European summer of 2012,Oceans,More severe or more likely to occur,"""The degree of decadal variability in these features suggests a role for forcing from outside the dynamical atmosphere, and preliminary numerical experiments suggest that the global SST and low Arctic sea ice extent anomalies are likely to have played a role.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1,2012
55,054,"Heat-related mortality in Sweden, 1980-2009",Impact,More severe or more likely to occur,"""Mortality from heat extremes in 1980–2009 was double what would have occurred without climate change""",https://www.nature.com/articles/nclimate2022,1980-2009
56,055,"Australia & tropical Pacific warm anomalies, 2013",Heat,More severe or more likely to occur,"""CMIP5 simulations suggest that the extremely warm year observed over Australia and the far western Pacific during 2013 was largely attributable to human forcing of the climate system.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2013
57,056,"Australia record temperatures, 2013",Heat,More severe or more likely to occur,"""Anthropogenic climate change has caused a very large increase in the likelihood of extreme events such as the record Australia-wide average temperatures in September, spring, and the 2013 calendar year.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2013
58,057,"Australia hot summer, 2012-13",Heat,More severe or more likely to occur,"""Human activity has increased the risk of experiencing the hot Australian summer of 2012/13, as measured by simulated heat wave frequency and intensity, by two- and three-fold, respectively.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2012-13
59,058,"Australia record hot September, 2013",Heat,More severe or more likely to occur,"""Record high September maximum temperatures over Australia arose from a combination of a strongly anomalous atmospheric circulation pattern, background warming, and dry and warm antecedent land-surface conditions.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2013
60,059,"South Korea summer heatwave, 2013",Heat,More severe or more likely to occur,"""A comparison of observations and multiple global climate model simulations indicates that extreme hot summer temperatures in Korea have become 10 times more likely due to human influence.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2013
61,060,"Japan heatwave, 2013",Heat,More severe or more likely to occur,"""Anthropogenic climate change played a significant role in increasing the probability of events such as the heat wave in Japan in 2013.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2013
62,061,"Central eastern China hot summer, 2013",Heat,More severe or more likely to occur,"""Comparison based on Coupled Model Intercomparison Project Phase 5 (CMIP5) models suggest a discernible impact of anthropogenic forcing, with internal variability also being important.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2013
63,062,Eastern Australia record heat,Heat,More severe or more likely to occur,"""The record heat of 2013 across inland eastern Australia was caused by a combination of anthropogenic warming and extreme drought.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,
64,063,"Eastern China record hot summer, 2013",Heat,More severe or more likely to occur,"""We estimate that anthropogenic influence has caused a more than 60-fold increase in the likelihood of the extreme warm 2013 summer since the early 1950s.""",https://www.nature.com/articles/nclimate2410,2013
65,064,"South-western US summer heatwave, 2013",Heat,More severe or more likely to occur,"""It was suggested that both the anthropogenic warming and an atmospheric circulation regime related to the natural variability of SST and SIC made the heat wave event more likely.""",https://www.jstage.jst.go.jp/article/sola/10/0/10_2014-025/_article,2013
66,065,"Northern hemisphere hot summers, 1949–2011",Heat,More severe or more likely to occur,"""In addition, direct influence of anthropogenic forcing also contributes to increasing the frequency since the late 20th century.""",https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2014GL061062,1949
67,Rapid study.  066,"Europe warmest year, 2014",Heat,More severe or more likely to occur,"""The KNMI and Melbourne teams found that the odds of average temperatures across Europe reaching this year’s record-setting levels were increased by at least 35 to 80 times due to human influence on our climate.  The team at the University of Oxford found that…global warming had increased the odds of a year as hot as the one just experienced in most of continental Europe by at least a factor of 10.""",https://www.worldweatherattribution.org/european-heat-2014/,2014
68,067,"Global temperature extremes, 1960-2010",Heat,More severe or more likely to occur,"""We demonstrate that the probability distribution of observed local trends across the globe for the period 1960–2010 is clearly different to what would be expected from internal variability. We detect a distinct intensification of heavy precipitation events and hot extremes.""",https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2013GL058499,1960-2010
69,068,"California drought, 2013-14",Drought,More severe or more likely to occur,"""There is a traceable anthropogenic warming footprint in the enormous intensity of the anomalous ridge during winter 2013–2014 and the associated drought.""",http://onlinelibrary.wiley.com/doi/10.1002/2014GL059748/abstract,2013-14
70,069,"Australian 'Millennium Drought', mid-1990s to late 2000s",Drought,More severe or more likely to occur,"""Although climate models generally suggest that Australia’s Millennium Drought was mostly due to multidecadal variability, some late-twentieth-century changes in climate modes that influence regional rainfall are partially attributable to anthropogenic greenhouse warming.""",http://journals.ametsoc.org/doi/abs/10.1175/JCLI-D-13-00322.1,
71,070,"California drought, 2013-14",Drought,More severe or more likely to occur,"""California’s driest 12-month period on record occurred during 2013/14, and although global warming has very likely increased the probability of certain large-scale atmospheric conditions, implications for extremely low precipitation in California remain uncertain.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2013-14
72,071,"New Zealand drought, 2013",Drought,More severe or more likely to occur,"""For the 2013 New Zealand drought, evidence from a number of models suggests that the meteorological drivers were more favorable for drought as a result of anthropogenic climate change.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2013
73,072,"California extreme dry conditions, early 2013",Drought,No discernible human influence,"""The 2013 SST anomalies produced a predilection for California drought, whereas the long-term warming trend appears to make no appreciable contribution because of the counteraction between its dynamical and thermodynamic effects.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2013
74,073,California droughts of 2012-13 & 2013-14,Drought,No discernible human influence,"""Long-term SST warming trends did not contribute substantially to the 2012/13 and 2013/14 California droughts. North Pacific SSTs were exceptionally warm, however, and coupled models indicate more frequent extreme precipitation.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2012-13
75,067,"Global 'dry spell length', 1960-2010",Drought,Insufficient data/inconclusive,"""The observations indicate a weak tendency toward shorter dry spell length. However, in contrast to the intensification of heavy precipitation, models suggest that in this case the area with observational data availability is not representative for the total land area, for which the models simulate no discernible change.""",https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2013GL058499,1960-2010
76,074,"Northern India severe rainfall, June 2013",Rain & flooding,More severe or more likely to occur,"""Cumulative precipitation in northern India in June 2013 was a century-scale event, and evidence for increased probability in the present climate compared to the preindustrial climate is equivocal.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2013
77,075,"US rainfall extremes, 2013",Rain & flooding,More severe or more likely to occur,"""The Coupled Model Intercomparison Project phase 5 model analyses suggest that seasonal and annual mean precipitation extremes occurring during 2013 in north-central and eastern U.S. regions, while primarily attributable to intrinsic variability, were also partly attributable to anthropogenic and natural forcings combined.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2013
78,067,"Global heavy rainfall extremes, 1960-2010",Rain & flooding,More severe or more likely to occur,"""We demonstrate that the probability distribution of observed local trends across the globe for the period 1960–2010 is clearly different to what would be expected from internal variability. We detect a distinct intensification of heavy precipitation events and hot extremes.""",https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2013GL058499,1960-2010
79,076,"Okavango basin floods, 2009-11",Rain & flooding,"Decrease, less severe or less likely to occur","""Anthropogenic climate change has reduced probability of high floods in the Okavango. Reduction is due to increased evaporation; rainfall changes are minor.""",https://www.sciencedirect.com/science/article/pii/S0022169414000778,2009-11
80,077,"North-east Colorado rainfall extremes, September 2013",Rain & flooding,"Decrease, less severe or less likely to occur","""The probability for an extreme five-day September rainfall event over northeast Colorado, as was observed in early September 2013, has likely decreased due to climate change.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2013
81,078,"Upper Danube & Elbe heavy rainfall, May-June 2013",Rain & flooding,No discernible human influence,"""An observation-based analysis and large simulation ensembles show no evidence that climate change made heavy precipitation in the upper Danube and Elbe basins in May–June, such as observed in 2013, more likely.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2013
82,079,"Southern Europe wet winter, 2013",Rain & flooding,Insufficient data/inconclusive,"""Winter 2013 was the second wettest since 1948 in southern Europe. This is partially explained by the atmospheric circulation. We suspect the warm Atlantic Ocean to have amplified the precipitation extreme.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2013
83,080,"UK cold spring, 2013","Cold, snow & ice","Decrease, less severe or less likely to occur","""Anthropogenic climate change reduced the odds of an extremely cold UK spring in 2013 at least 30 times, as estimated from ensembles of simulations with and without human influences.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2013
84,081,"Spanish Pyrenees extreme snow accumulation, spring 2013","Cold, snow & ice",No discernible human influence,"""Natural climatic variability was apparently the main driver in the extreme cumulative snowfall that fell in the Pyrenees in 2013.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2013
85,082,"South Dakota blizzard, October 2013","Cold, snow & ice",Insufficient data/inconclusive,"""An early October blizzard in South Dakota is determined to be climatologically anomalous. Climate models suggest that early autumn extreme snowfall events in western South Dakota are less likely due to anthropogenic climate change.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2013
86,083,"Violent' storm in northern Germany & Denmark, October 2013",Storm,No discernible human influence,"""A strong storm on 28 October 2013 over northern Germany and southern Denmark fits a slight increase in storminess during recent decades. However, the increase constitutes part of multidecadal variability.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2013
87,084,"Western Europe hot & dry summer, 2013",Compound,More severe or more likely to occur,"""Anthropogenic forcing played a substantial part in western Europe’s hot, dry summer in 2013. North Atlantic sea surface temperatures were likely a factor in the large contrast with summer 2012.""",http://journals.ametsoc.org/doi/pdf/10.1175/1520-0477-95.9.S1.1,2013
88,085,"Argentina heatwave, December 2013",Heat,More severe or more likely to occur,"""The Argentinian heat wave of December 2013 was likely caused in part by anthropogenic forcings. These forcings have increased the risk of such an event occurring by a factor of five.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-ExplainingExtremeEvents2014.1,2013
89,086,"Record warmth over Europe, 2014",Heat,More severe or more likely to occur,"""According to CMIP5 models, the risk of record annual mean warmth in European, north-east Pacific, and north-west Atlantic regions – as occurred in 2014 – has been greatly increased by anthropogenic climate change.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-ExplainingExtremeEvents2014.1,2014
90,087,"South Korea record hot spring, 2014",Heat,More severe or more likely to occur,"""A comparison of observations and multiple global climate model simulations indicates that extreme hot summer temperatures in Korea have become 10 times more likely due to human influence.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-ExplainingExtremeEvents2014.1,2014
91,088,"Northern China hot spring, 2014",Heat,More severe or more likely to occur,"""Anthropogenic forcing may have contributed to an 11-fold increase in the chance of the 2014 hot spring in northern China""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-ExplainingExtremeEvents2014.1,2014
92,089,"Brisbane heat event, November 2014",Heat,More severe or more likely to occur,"""Climate model simulations for 2014 indicate anthropogenic climate change very likely increased the likelihood of hot and very hot November days in Brisbane by at least 25% and 44% respectively.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-ExplainingExtremeEvents2014.1,2014
93,090,"Adelaide heatwave, January 2014",Heat,More severe or more likely to occur,"""Anthropogenic climate change very likely increased the likelihood of prolonged heat waves like that experienced in Adelaide in January 2014 by at least 16%.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-ExplainingExtremeEvents2014.1,2014
94,091,"Australia high temperatures, spring 2014",Heat,More severe or more likely to occur,"""The record warm Australian spring of 2014 would likely not have occurred without increases in CO2 over the last 50 years working in concert with an upper-level wave train.""",http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-ExplainingExtremeEvents2014.1,2014
